Apple Inc. Common Stock	AAPL
Benessere Capital Acquisition Corp. Class A Common Stock	BENE
Hill International Inc. Common Stock	HIL
HighCape Capital Acquisition Corp. Class A Common Stock	CAPA
HighCape Capital Acquisition Corp. Unit	CAPAU
Boxlight Corporation Class A Common Stock	BOXL
Peoples Bancorp of North Carolina Inc. Common Stock	PEBK
Odonate Therapeutics Inc. Common Stock	ODT
Security National Financial Corporation Class A Common Stock	SNFCA
Evolution Petroleum Corporation Inc. Common Stock	EPM
China Automotive Systems Inc. Common Stock	CAAS
FNCB Bancorp Inc. Common Stock	FNCB
Power REIT (MD) Common Stock	PW
Exicure Inc. Common Stock	XCUR
New York City REIT Inc. Class A Common Stock	NYC
Concord Medical Services Holdings Limited ADS (Each represents three ordinary shares)	CCM
Graham Corporation Common Stock	GHM
Bogota Financial Corp. Common Stock	BSBK
Calamos Global Total Return Fund Common Stock	CGO
Big Cypress Acquisition Corp. Unit	BCYPU
Big Cypress Acquisition Corp. Common stock	BCYP
Acme United Corporation. Common Stock	ACU
SPI Energy Co. Ltd. Ordinary Shares	SPI
StoneCastle Financial Corp Common Stock	BANX
Xtant Medical Holdings Inc. Common Stock	XTNT
Roth CH Acquisition II Co. Common Stock	ROCC
Roth CH Acquisition II Co. Unit	ROCCU
Western Asset Investment Grade Income Fund Inc.	PAI
Gabelli Global Small and Mid Cap Value Trust (The) Common Shares of Beneficial Interest	GGZ
Kingswood Acquisition Corp. Class A Common Stock	KWAC
Americas Technology Acquisition Corp. Ordinary Shares	ATA
Barings Participation Investors Common Stock	MPV
Manitex International Inc. Common Stock	MNTX
Checkmate Pharmaceuticals Inc. Common Stock	CMPI
GSI Technology Common Stock	GSIT
MFS Government Markets Income Trust Common Stock	MGF
IMARA Inc. Common Stock	IMRA
Longboard Pharmaceuticals Inc. Common Stock	LBPH
United Security Bancshares Common Stock	UBFO
Manning & Napier Inc. Class A Common Stock	MN
Nuveen Georgia Quality Municipal Income Fund	NKG
Spark Networks Inc. American Depositary Shares (each representing one-tenth of an Ordinary Share)	LOV
Entergy New Orleans LLC First Mortgage Bonds 5.50% Series due April 1 2066	ENO
Entergy New Orleans LLC First Mortgage Bonds 5.0% Series due December 1 2052	ENJ
Smart Sand Inc. Common Stock	SND
Malvern Bancorp Inc. Common Stock	MLVF
LMP Automotive Holdings Inc. Common Stock	LMPX
NuCana plc American Depositary Share	NCNA
Tiziana Life Sciences plc American Depository Share	TLSA
First Eagle Alternative Capital BDC Inc. Common Stock	FCRD
First Eagle Alternative Capital BDC Inc. 6.125% Notes Due 2023	FCRW
First Eagle Alternative Capital BDC Inc. 5.000% Notes due 2026	FCRX
First Eagle Alternative Capital BDC Inc. 6.75% Notes due 2022	FCRZ
Ardmore Shipping Corporation Common Stock	ASC
First Financial Northwest Inc. Common Stock	FFNW
SB Financial Group Inc. Common Stock	SBFG
Motion Acquisition Corp. Class A Common Stock	MOTN
Flux Power Holdings Inc. Common Stock	FLUX
Amplify Energy Corp. Common Stock	AMPY
PTK Acquisition Corp. Common Stock	PTK
Partners Bancorp Common Stock	PTRS
CA Healthcare Acquisition Corp. Class A Common Stock	CAHC
CA Healthcare Acquisition Corp. Unit	CAHCU
Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest	EDF
Radcom Ltd. Ordinary Shares	RDCM
Elevate Credit Inc. Common Stock	ELVT
Alpine Income Property Trust Inc. Common Stock	PINE
Saga Communications Inc. Class A Common Stock (FL)	SGA
Intellicheck Inc. Common Stock	IDN
Westwater Resources Inc. Common Stock	WWR
Better World Acquisition Corp. Common Stock	BWAC
Better World Acquisition Corp. Unit	BWACU
Dynagas LNG Partners LP Common Units	DLNG
Oconee Federal Financial Corp. Common Stock	OFED
Vickers Vantage Corp. I Ordinary Shares	VCKA
Vickers Vantage Corp. I Unit	VCKAU
La Jolla Pharmaceutical Company Common Stock	LJPC
Hepion Pharmaceuticals Inc. Common Stock	HEPA
Amtech Systems Inc. Common Stock	ASYS
Forum Energy Technologies Inc. Common Stock	FET
USA Truck Inc. Common Stock	USAK
Nicholas Financial Inc. Common Stock	NICK
RumbleOn Inc. Class B Common Stock	RMBL
Vince Holding Corp. Common Stock	VNCE
DiaMedica Therapeutics Inc. Common Stock	DMAC
XpresSpa Group Inc. Common Stock	XSPA
BrightSphere Investment Group Inc. 5.125% Notes due 2031	BSA
FAT Brands Inc. Common Stock	FAT
FAT Brands Inc. 8.25% Series B Cumulative Preferred Stock	FATBP
Williams Industrial Services Group Inc. Common Stock	WLMS
Orgenesis Inc. Common Stock	ORGS
Nuveen Massachusetts Quality Municipal Income Fund Common Stock	NMT
DWS Strategic Municipal Income Trust	KSM
Envela Corporation Common Stock	ELA
TransGlobe Energy Corporation Ordinary Shares (Canada)	TGA
Hudson Technologies Inc. Common Stock	HDSN
Ibere Pharmaceuticals Class A Ordinary Shares	IBER
PCM Fund Inc. Common Stock	PCM
InflaRx N.V. Common Stock	IFRX
Provident Financial Holdings Inc. Common Stock	PROV
Acasti Pharma Inc. Class A Common Stock	ACST
TDH Holdings Inc. Common Shares	PETZ
Archimedes Tech SPAC Partners Co. Subunit	ATSPT
Archimedes Tech SPAC Partners Co. Unit	ATSPU
Mallard Acquisition Corp. Common stock	MACU
Ault Global Holdings Inc. Common Stock	DPW
OncoSec Medical Incorporated Common Stock	ONCS
Auburn National Bancorporation Inc. Common Stock	AUBN
Vericity Inc. Common Stock	VERY
Salisbury Bancorp Inc. Common Stock	SAL
Aquestive Therapeutics Inc. Common Stock	AQST
Nymox Pharmaceutical Corporation Common Stock (Bahamas)	NYMX
Viridian Therapeutics Inc. Common Stock	VRDN
Pluristem Therapeutics Inc. Common Stock	PSTI
Western Asset Intermediate Muni Fund Inc Common Stock	SBI
Agile Therapeutics Inc. Common Stock	AGRX
Milestone Scientific Inc. Common Stock	MLSS
Steel Connect Inc. Common Stock	STCN
S&W Seed Company Common Stock (NV)	SANW
Nuveen Select Maturities Municipal Fund Common Stock	NIM
Ocean Bio-Chem Inc. Common Stock	OBCI
Synchronoss Technologies Inc. Common Stock	SNCR
Siebert Financial Corp. Common Stock	SIEB
GlycoMimetics Inc. Common Stock	GLYC
Arlington Asset Investment Corp Class A (new)	AAIC
Arlington Asset Investment Corp 6.625% Notes due 2023	AIW
Arlington Asset Investment Corp 6.750% Notes due 2025	AIC
Aytu BioPharma Inc. Common Stock	AYTU
Palatin Technologies Inc. Common Stock	PTN
Vascular Biogenics Ltd. Ordinary Shares	VBLT
F-star Therapeutics Inc. Common Stock	FSTX
Franklin Financial Services Corporation Common Stock	FRAF
MFS Municipal Income Trust Common Stock	CMU
Progenity Inc. Common Stock	PROG
Jiya Acquisition Corp. Class A Common Stock	JYAC
Wells Fargo Utilities and High Income Fund	ERH
Eucrates Biomedical Acquisition Corp. Ordinary Shares	EUCR
OTR Acquisition Corp. Unit	OTRAU
Catalyst Biosciences Inc. Common Stock	CBIO
Eyenovia Inc. Common Stock	EYEN
Pimco New York Municipal Income Fund II Common Shares of Beneficial Interest	PNI
OFS Capital Corporation Common Stock	OFS
OFS Capital Corporation 6.25% Notes Due 2023	OFSSG
Evaxion Biotech A/S American Depositary Share	EVAX
Brainstorm Cell Therapeutics Inc. Common Stock	BCLI
Otonomy Inc. Common Stock	OTIC
Polar Power Inc. Common Stock	POLA
Special Opportunities Fund Inc Common Stock	SPE
Bowman Consulting Group Ltd. Common Stock	BWMN
Eledon Pharmaceuticals Inc. Common Stock	ELDN
Anixa Biosciences Inc. Common Stock	ANIX
CareCloud Inc. Common Stock	MTBC
CareCloud Inc. 11% Series A Cumulative Redeemable Perpetual Preferred Stock	MTBCP
Champions Oncology Inc. Common Stock	CSBR
Alpha Healthcare Acquisition Corp. Class A Common Stock	AHAC
Avino Silver & Gold Mines Ltd. Common Shares (Canada)	ASM
Wayside Technology Group Inc. Common Stock	WSTG
China Index Holdings Limited American Depository Shares	CIH
First Trust/Aberdeen Global Opportunity Income Fund First Trust/Aberdeen Global Opportunity Income Fund Common Shares of Beneficial Interest	FAM
Sio Gene Therapies Inc. Common Stock	SIOX
Vistas Media Acquisition Company Inc. Class A Common Stock	VMAC
Vistas Media Acquisition Company Inc. Unit	VMACU
Longeveron Inc. Class A Common Stock	LGVN
SRAX Inc. Class A Common Stock	SRAX
Yatra Online Inc. Ordinary Shares	YTRA
Stabilis Solutions Inc. Common Stock	SLNG
Concert Pharmaceuticals Inc. Common Stock	CNCE
Phoenix New Media Limited American Depositary Shares each representing 8 Class A ordinary shares.	FENG
BGSF Inc. Common Stock	BGSF
DTF Tax-Free Income Inc. Common Stock	DTF
Landmark Bancorp Inc. Common Stock	LARK
Gain Therapeutics Inc. Common Stock	GANX
Genocea Biosciences Inc. Common Stock	GNCA
Armstrong Flooring Inc. Common Stock	AFI
IsoRay Inc. Common Stock (DE)	ISR
Pioneer Diversified High Income Fund Inc.	HNW
Sachem Capital Corp. 7.75% Notes due 2025	SCCC
Sachem Capital Corp. 6.875% Notes due 2024	SACC
Sachem Capital Corp. Common Shares	SACH
Clipper Realty Inc. Common Stock	CLPR
Ranger Energy Services Inc. Class A Common Stock	RNGR
KLX Energy Services Holdings Inc. Common Stock	KLXE
Eaton vance Floating-Rate Income Plus Fund Common Shares of Beneficial Interest	EFF
GDL Fund The Common Shares of Beneficial Interest	GDL
First United Corporation Common Stock	FUNC
Amplitude Healthcare Acquisition Corporation Class A Common Stock	AMHC
Amplitude Healthcare Acquisition Corporation Unit	AMHCU
Inpixon Common Stock	INPX
Super League Gaming Inc. Common Stock	SLGG
Vista Gold Corp Common Stock	VGZ
Ocean Power Technologies Inc. Common Stock	OPTT
Minerva Neurosciences Inc Common Stock	NERV
Larimar Therapeutics Inc. Common Stock	LRMR
Ayala Pharmaceuticals Inc. Common Stock	AYLA
PCTEL Inc. Common Stock	PCTI
Venus Concept Inc. Common Stock	VERO
Galecto Inc. Common Stock	GLTO
American Virtual Cloud Technologies Inc. Common Stock	AVCT
Pro-Dex Inc. Common Stock	PDEX
Axcella Health Inc. Common Stock	AXLA
Ampco-Pittsburgh Corporation Common Stock	AP
Turmeric Acquisition Corp. Class A Ordinary Shares	TMPM
Turmeric Acquisition Corp. Unit	TMPMU
Nocturne Acquisition Corporation Unit	MBTCU
Nocturne Acquisition Corporation Ordinary Shares	MBTC
Limestone Bancorp Inc. Common Stock	LMST
Pimco Global Stocksplus & Income Fund Pimco Global StocksPlus & Income Fund Common Shares of Beneficial Interest	PGP
Aberdeen Japan Equity Fund Inc. Common Stock	JEQ
RMR Mortgage Trust Common Stock	RMRM
Old Point Financial Corporation Common Stock	OPOF
Fonar Corporation Common Stock	FONR
Geospace Technologies Corporation Common Stock (Texas)	GEOS
BBQ Holdings Inc. Common Stock	BBQ
ZK International Group Co. Ltd Ordinary Share	ZKIN
Navios Maritime Holdings Inc. Common Stock	NM
Liminal BioSciences Inc. Common Shares	LMNL
Gabelli Convertible and Income Securities Fund Inc. (The) Common Stock	GCV
The Alkaline Water Company Inc. Common Stock	WTER
VivoPower International PLC Ordinary Shares	VVPR
RYB Education Inc. American depositary shares each representing one Class A ordinary share	RYB
Can-Fite Biopharma Ltd Sponsored ADR (Israel)	CANF
Alkuri Global Acquisition Corp. Class A common stock	KURI
Alkuri Global Acquisition Corp. Unit	KURIU
CB Financial Services Inc. Common Stock	CBFV
Gabelli Global Utility Common Shares of Beneficial Ownership	GLU
Adams Resources & Energy Inc. Common Stock	AE
TransAct Technologies Incorporated Common Stock	TACT
RealNetworks Inc. Common Stock	RNWK
Cocrystal Pharma Inc. Common Stock	COCP
Edoc Acquisition Corp. Class A Ordinary Share	ADOC
Kingsway Financial Services Inc. Common Stock (DE)	KFS
ServiceSource International Inc. Common Stock	SREV
IRIDEX Corporation Common Stock	IRIX
Novan Inc. Common Stock	NOVN
Consonance-HFW Acquisition Corp. Class A Ordinary Shares	CHFW
Washington Prime Group Inc. Common Stock	WPG
Vislink Technologies Inc. Common Stock	VISL
Golden Minerals Company Common Stock	AUMN
Pedevco Corp. Common Stock	PED
Vivos Therapeutics Inc. Common Stock	VVOS
Vinco Ventures Inc. Common Stock	BBIG
Rhinebeck Bancorp Inc. Common Stock	RBKB
Aziyo Biologics Inc. Class A Common Stock	AZYO
Vyant Bio Inc. Common Stock	VYNT
IEC Electronics Corp. Common Stock	IEC
Aptevo Therapeutics Inc. Common Stock	APVO
Randolph Bancorp Inc. Common Stock	RNDB
Everspin Technologies Inc. Common Stock	MRAM
Aileron Therapeutics Inc. Common Stock	ALRN
AgroFresh Solutions Inc. Common Stock	AGFS
Park City Group Inc. Common Stock	PCYG
American River Bankshares Common Stock	AMRB
JMP Group LLC 7.25% Senior Notes due 2027	JMPNL
JMP Group LLC 6.875% Senior Notes due 2029	JMPNZ
JMP Group LLC Common Shares	JMP
CooTek (Cayman) Inc. American Depositary Shares each representing 50 Class A Ordinary Shares	CTK
Nuveen Mortgage and Income Fund	JLS
Erytech Pharma S.A. American Depositary Shares	ERYP
PhenixFIN Corporation Common Stock	PFX
PhenixFIN Corporation 6.125% Senior Notes due 2023	PFXNL
Broadway Financial Corporation Common Stock	BYFC
Adara Acquisition Corp. Class A Common Stock	ADRA
Luby's Inc. Common Stock	LUB
Protara Therapeutics Inc. Common Stock	TARA
Voya Asia Pacific High Dividend Equity Income Fund ING Asia Pacific High Dividend Equity Income Fund Common Shares of Beneficial Interest	IAE
BioSig Technologies Inc. Common Stock	BSGM
Safe-T Group Ltd. American Depositary Share	SFET
Fang Holdings Limited American Depositary Shares (Each representing Four Class A Ordinary Shares HK$1.00 par value)	SFUN
Lifevantage Corporation Common Stock (Delaware)	LFVN
Lixiang Education Holding Co. Ltd. American Depositary Shares	LXEH
AstroNova Inc. Common Stock	ALOT
Medicus Sciences Acquisition Corp. Class A Ordinary Share	MSAC
Sound Financial Bancorp Inc. Common Stock	SFBC
Franklin Wireless Corp. Common Stock	FKWL
DAVIDsTEA Inc. Common Stock	DTEA
Consumer Portfolio Services Inc. Common Stock	CPSS
Altisource Portfolio Solutions S.A. Common Stock	ASPS
Excellon Resources Inc. Common Shares	EXN
Ohio Valley Banc Corp. Common Stock	OVBC
China Customer Relations Centers Inc. Ordinary Shares	CCRC
NexPoint Real Estate Finance Inc. Common Stock	NREF
Educational Development Corporation Common Stock	EDUC
Richardson Electronics Ltd. Common Stock	RELL
StealthGas Inc. Common Stock	GASS
Bank of South Carolina Corp. Common Stock	BKSC
Check-Cap Ltd. Ordinary Share	CHEK
New Home Company Inc. (The) Common Stock	NWHM
Scopus BioPharma Inc. Common Stock	SCPS
Eaton Vance Tax-Managed Buy-Write Strategy Fund Common Shares of Beneficial Interest	EXD
urban-gro Inc. Common Stock	UGRO
Martin Midstream Partners L.P. Limited Partnership	MMLP
Euroseas Ltd. Common Stock (Marshall Islands)	ESEA
Elys Game Technology Corp. Common Stock	ELYS
Molecular Data Inc. American Depositary Shares	MKD
SEACOR Marine Holdings Inc. Common Stock	SMHI
Prudential Bancorp Inc. Common Stock	PBIP
Aptorum Group Limited Class A Ordinary Shares	APM
Core Molding Technologies Inc Common Stock	CMT
Cyclerion Therapeutics Inc. Common Stock	CYCN
Biolase Inc. Common Stock	BIOL
Lipocine Inc. Common Stock	LPCN
United Bancshares Inc. Common Stock	UBOH
First Eagle Senior Loan Fund	FSLF
Chardan Healthcare Acquisition 2 Corp. Common Stock	CHAQ
Rezolute Inc. Common Stock	RZLT
Aeterna Zentaris Inc. Common Stock	AEZS
5:01 Acquisition Corp. Class A Common Stock	FVAM
Celsion Corporation Common Stock	CLSN
Aravive Inc. Common Stock	ARAV
Citizens Holding Company Common Stock	CIZN
Nuveen Municipal Income Fund Inc. Common Stock	NMI
Community West Bancshares Common Stock	CWBC
Alpha Pro Tech Ltd. Common Stock	APT
Guaranty Federal Bancshares Inc. Common Stock	GFED
Moleculin Biotech Inc. Common Stock	MBRX
Nuveen California Select Tax-Free Income Portfolio Common Stock	NXC
Dyadic International Inc. Common Stock	DYAI
Cortland Bancorp Common Stock	CLDB
Intergroup Corporation (The) Common Stock	INTG
Marchex Inc. Class B Common Stock	MCHX
CF Bankshares Inc. Common Stock	CFBK
Biophytis SA American Depositary Share	BPTS
One Stop Systems Inc. Common Stock	OSS
Troika Media Group Inc. Common Stock	TRKA
Innovative Solutions and Support Inc. Common Stock	ISSC
Processa Pharmaceuticals Inc. Common Stock	PCSA
Goldman Sachs MLP Energy Renaissance Fund	GER
PHX Minerals Inc. Common Stock	PHX
China Green Agriculture Inc. Common Stock	CGA
Corvus Pharmaceuticals Inc. Common Stock	CRVS
Cidara Therapeutics Inc. Common Stock	CDTX
ATA Creativity Global American Depositary Shares	AACG
Lyra Therapeutics Inc. Common Stock	LYRA
Meten EdtechX Education Group Ltd. Ordinary Shares	METX
AIM ImmunoTech Inc. Common Stock	AIM
United States Antimony Corporation Common Stock	UAMY
Phunware Inc. Common Stock	PHUN
WISeKey International Holding AG American Depositary Shares	WKEY
Onconova Therapeutics Inc. Common Stock	ONTX
Crexendo Inc. Common Stock	CXDO
Metacrine Inc. Common Stock	MTCR
ARC Document Solutions Inc. Common Stock	ARC
Magal Security Systems Ltd. Ordinary Shares	MAGS
Armata Pharmaceuticals Inc. Common Stock	ARMP
Recro Pharma Inc. Common Stock	REPH
Akerna Corp. Common Stock	KERN
LifeSci Acquisition II Corp. Common Stock	LSAQ
Beyond Air Inc. Common Stock	XAIR
Universal Stainless & Alloy Products Inc. Common Stock	USAP
Leap Therapeutics Inc. Common Stock	LPTX
Aprea Therapeutics Inc. Common stock	APRE
Avalon GloboCare Corp. Common Stock	AVCO
PIMCO New York Municipal Income Fund Common Stock	PNF
Oriental Culture Holding LTD Ordinary Shares	OCG
Roth CH Acquisition III Co. Common stock	ROCR
Roth CH Acquisition III Co. Unit	ROCRU
Riverview Financial Corporation Common Stock	RIVE
AMREP Corporation Common Stock	AXR
FreightCar America Inc. Common Stock	RAIL
HMN Financial Inc. Common Stock	HMNF
Mechanical Technology Incorporated Common Stock (Nevada)	MKTY
TD Holdings Inc. Common Stock	GLG
Issuer Direct Corporation Common Stock	ISDR
Clough Global Dividend and Income Fund Common Shares of beneficial interest	GLV
Capstone Green Energy Corporation Common Stock	CGRN
Industrial Tech Acquisitions Inc. Class A common stock	ITAC
Industrial Tech Acquisitions Inc. Unit	ITACU
Avinger Inc. Common Stock	AVGR
Eaton Vance California Municipal Income Trust Shares of Beneficial Interest	CEV
Capital Senior Living Corporation Common Stock	CSU
Epsilon Energy Ltd. Common Share	EPSN
Friedman Industries Inc. Common Stock	FRD
PrimeEnergy Resources Corporation Common Stock	PNRG
Code Chain New Continent Limited Common Stock	CCNC
Heritage Global Inc. Common Stock	HGBL
Summit State Bank Common Stock	SSBI
First National Corporation Common Stock	FXNC
Eagle Point Income Company Inc. Common Stock	EIC
Lument Finance Trust Inc. Common Stock	LFT
36Kr Holdings Inc. American Depositary Shares	KRKR
Limbach Holdings Inc. Common Stock	LMB
Infobird Co. Ltd Ordinary Shares	IFBD
CPS Technologies Corp. Common Stock	CPSH
Where Food Comes From Inc. Common Stock	WFCF
Tortoise Power and Energy Infrastructure Fund Inc Common Stock	TPZ
Reeds Inc. Common Stock	REED
Electromed Inc. Common Stock	ELMD
High Income Securities Fund Common Stock	PCF
Invesco High Income Trust II	VLT
AIkido Pharma Inc. Common Stock	AIKI
Color Star Technology Co. Ltd. Ordinary Shares	CSCW
U.S. Well Services Inc. Class A Common Stock	USWS
MediWound Ltd. Ordinary Shares	MDWD
Quest Resource Holding Corporation Common Stock	QRHC
Digital Ally Inc. Common Stock	DGLY
Inuvo Inc.	INUV
Bull Horn Holdings Corp. Ordinary Shares	BHSE
Blue Apron Holdings Inc. Class A Common Stock	APRN
Coda Octopus Group Inc. Common stock	CODA
ENDRA Life Sciences Inc. Common Stock	NDRA
Greenland Technologies Holding Corporation Ordinary Shares	GTEC
CohBar Inc. Common Stock	CWBR
Allied Esports Entertainment Inc. Common Stock	AESE
MFS Investment Grade Municipal Trust Common Stock	CXH
LENSAR Inc. Common Stock	LNSR
Ballantyne Strong Inc. Common Stock	BTN
TRACON Pharmaceuticals Inc. Common Stock	TCON
United Bancorp Inc. Common Stock	UBCP
Versus Systems Inc. Common Shares	VS
Petra Acquisition Inc. Common Stock	PAIC
Petra Acquisition Inc. Units	PAICU
Entasis Therapeutics Holdings Inc. Common Stock	ETTX
Caladrius Biosciences Inc. Common Stock	CLBS
Synalloy Corporation Common Stock	SYNL
Greenpro Capital Corp. Common Stock	GRNQ
Odyssey Marine Exploration Inc. Common Stock	OMEX
CorEnergy Infrastructure Trust Inc. Common Stock	CORR
Yunhong International Class A Ordinary Shares	ZGYH
Live Ventures Incorporated Common Stock	LIVE
BP Prudhoe Bay Royalty Trust Common Stock	BPT
Delaware Investments Dividend & Income Fund Inc. Common Stock	DDF
Smith-Midland Corporation Common Stock	SMID
Soleno Therapeutics Inc. Common Stock	SLNO
U.S. Global Investors Inc. Class A Common Stock	GROW
Exela Technologies Inc. Common Stock	XELA
Oblong Inc. Common Stock	OBLG
CSI Compressco LP Common Units	CCLP
Applied UV Inc. Common Stock	AUVI
Aerpio Pharmaceuticals Inc. Common Stock	ARPO
Frequency Electronics Inc. Common Stock	FEIM
voxeljet AG American Depositary Shares	VJET
Houston Wire & Cable Company Common Stock	HWCC
Evofem Biosciences Inc. Common Stock	EVFM
Nephros Inc. Common Stock	NEPH
Graybug Vision Inc. Common Stock	GRAY
NeuroOne Medical Technologies Corporation Common Stock	NMTC
Fuel Tech Inc. Common Stock	FTEK
Stealth BioTherapeutics Corp. ADS	MITO
Capricor Therapeutics Inc. Common Stock	CAPR
Almaden Minerals Ltd. Common Shares	AAU
Great Elm Capital Corp. 6.5% Notes due 2024	GECCN
Great Elm Capital Corp. Common Stock	GECC
Zosano Pharma Corporation Common Stock	ZSAN
Lumos Pharma Inc. Common Stock	LUMO
Affinity Bancshares Inc. Common Stock (MD)	AFBI
Borqs Technologies Inc. Ordinary Shares	BRQS
Atlantic American Corporation Common Stock	AAME
Broadwind Inc. Common Stock	BWEN
PolarityTE Inc. Common Stock	PTE
Lake Shore Bancorp Inc. Common Stock	LSBK
Kingstone Companies Inc. Common Stock	KINS
Natural Health Trends Corp. Common Stock	NHTC
Rockwell Medical Inc. (DE) Common Stock	RMTI
Merrimack Pharmaceuticals Inc. Common Stock	MACK
Macquarie First Trust Global Common Stock	MFD
iSun Inc. Common Stock	ISUN
Fiduciary/Claymore Energy Infrastructure Fund Common Shares of Beneficial Interest	FMO
Reviva Pharmaceuticals Holdings Inc. Common Stock	RVPH
Zovio Inc. Common Stock	ZVO
Galmed Pharmaceuticals Ltd. Ordinary Shares	GLMD
Natural Alternatives International Inc. Common Stock	NAII
Hallador Energy Company Common Stock	HNRG
U.S. Gold Corp. Common Stock	USAU
Beasley Broadcast Group Inc. Class A Common Stock	BBGI
Perma-Fix Environmental Services Inc. Common Stock	PESI
Cleveland BioLabs Inc. Common Stock	CBLI
Pingtan Marine Enterprise Ltd.	PME
Lifeway Foods Inc. Common Stock	LWAY
Entera Bio Ltd. Ordinary Shares	ENTX
180 Degree Capital Corp. Common Stock	TURN
Lion Group Holding Ltd. American Depositary Share	LGHL
LAIX Inc. American Depositary Shares each representing one Class A Ordinary Share	LAIX
Oragenics Inc. Common Stock	OGEN
The European Equity Fund Inc. Common Stock	EEA
Verb Technology Company Inc. Common Stock	VERB
Dover Motorsports Inc. Common Stock	DVD
Hallmark Financial Services Inc. Common Stock	HALL
SemiLEDS Corporation Common Stock	LEDS
Regulus Therapeutics Inc. Common Stock	RGLS
Support.com Inc. Common Stock	SPRT
FSD Pharma Inc. Class B Subordinate Voting Shares	HUGE
Voya Natural Resources Equity Income Fund Common Shares of Beneficial Interest	IRR
Baosheng Media Group Holdings Limited Ordinary shares	BAOS
Network-1 Technologies Inc. Common Stock	NTIP
Aware Inc. Common Stock	AWRE
electroCore Inc. Common Stock	ECOR
Charles & Colvard Ltd Common Stock	CTHR
PermRock Royalty Trust Trust Units	PRT
Cellectar Biosciences Inc. Common Stock	CLRB
Streamline Health Solutions Inc. Common Stock	STRM
Qumu Corporation Common Stock	QUMU
FFBW Inc. Common Stock (MD)	FFBW
Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest	EVY
Volt Information Sciences Inc. Common Stock	VOLT
Bank of the James Financial Group Inc. Common Stock	BOTJ
FedNat Holding Company Common Stock	FNHC
Research Frontiers Incorporated Common Stock	REFR
ReWalk Robotics Ltd. Ordinary Shares	RWLK
CLPS Incorporation Common Stock	CLPS
Q&K International Group Limited American Depositary Shares	QK
LIV Capital Acquisition Corp. Unit	LIVKU
LIV Capital Acquisition Corp. Class A Ordinary Shares	LIVK
Neuberger Berman California Municipal Fund Inc Common Stock	NBW
Crown Crafts Inc Common Stock	CRWS
QuickLogic Corporation Common Stock	QUIK
Document Security Systems Inc. Common Stock	DSS
OpGen Inc. Common Stock	OPGN
RF Industries Ltd. Common Stock	RFIL
Addex Therapeutics Ltd American Depositary Shares	ADXN
EdtechX Holdings Acquisition Corp. II Unit	EDTXU
EdtechX Holdings Acquisition Corp. II Class A common stock	EDTX
MDJM LTD Ordinary Share	MDJH
Red Cat Holdings Inc. Common Stock	RCAT
Investcorp Credit Management BDC Inc. Common Stock	ICMB
Weidai Ltd. American depositary shares each representing one (1) Class A ordinary share	WEI
Edesa Biotech Inc. Common Shares	EDSA
Assertio Holdings Inc. Common Stock	ASRT
Precipio Inc. Common Stock	PRPO
Achieve Life Sciences Inc. Common Shares	ACHV
First Trust/Aberdeen Emerging Opportunity Fund Common Shares of Beneficial Interest	FEO
Magyar Bancorp Inc. Common Stock	MGYR
Predictive Oncology Inc. Common Stock	POAI
Synthetic Biologics Inc. Common Stock	SYN
OFS Credit Company Inc. 6.125% Series C Term Preferred Stock	OCCIO
OFS Credit Company Inc. Common Stock	OCCI
OFS Credit Company Inc. 6.875% Series A Term Preferred Stock	OCCIP
Avenue Therapeutics Inc. Common Stock	ATXI
ENGlobal Corporation Common Stock	ENG
Gulf Island Fabrication Inc. Common Stock	GIFI
ProPhase Labs Inc. Common Stock (DE)	PRPH
Kubient Inc. Common Stock	KBNT
Key Tronic Corporation Common Stock	KTCC
NCS Multistage Holdings Inc. Common Stock	NCSM
BioCardia Inc. Common Stock	BCDA
Emclaire Financial Corp Common Stock	EMCF
LightPath Technologies Inc. Class A Common Stock	LPTH
Celyad Oncology SA American Depositary Shares	CYAD
Mountain Crest Acquisition Corp. II Unit	MCADU
Mountain Crest Acquisition Corp. II Common Stock	MCAD
Ashford Inc. (Holding Company) Common Stock	AINC
Nine Energy Service Inc. Common Stock	NINE
IF Bancorp Inc. Common Stock	IROQ
Aberdeen Global Income Fund Inc. Common Stock	FCO
Aberdeen Standard Global Infrastructure Income Fund Common Shares of Beneficial Interest	ASGI
John Hancock Tax-Advantaged Global Shareholder Yield Fund Common Shares of Beneficial Interest	HTY
Monopar Therapeutics Inc. Common Stock	MNPR
Great Elm Group Inc. Common Stock	GEG
MV Oil Trust Units of Beneficial Interests	MVO
AMCON Distributing Company Common Stock	DIT
Global Internet of People Inc. Ordinary Shares	SDH
Diffusion Pharmaceuticals Inc. Common Stock	DFFN
United-Guardian Inc. Common Stock	UG
aTyr Pharma Inc. Common Stock	LIFE
ImmuCell Corporation Common Stock	ICCC
Blue Water Acquisition Corp. Class A Common Stock	BLUW
Blue Water Acquisition Corp. Unit	BLUWU
Emles @Home ETF	LIV
Pathfinder Bancorp Inc. Common Stock (MD)	PBHC
Interlink Electronics Inc. Common Stock	LINK
Jerash Holdings (US) Inc. Common Stock	JRSH
Franklin Genomic Advancements ETF	HELX
ShiftPixy Inc. Common Stock	PIXY
Gulf Resources Inc. (NV) Common Stock	GURE
